id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
1_01,0.703704,0.684211,2.108878,2.982405,0.8489389999999999,25.011113,0.684211,0.75,2.25,1.06066,0.157895,0.10526300000000001,0.0,0.10526300000000001,0.10526300000000001,0.0,3.894736842,1.263158,2.714286,2.375,1.142857,0.0,0.0,0.0,0.0,1.125,1.4285709999999998,1.285714,0.0,4.3,3.777778,0.0,3.703704
1_03,0.7258060000000001,0.488889,2.319004,3.2795660000000004,0.664773,19.262033,0.488889,0.6,1.8,0.9486829999999999,0.06666699999999999,0.11111099999999999,0.022222,0.11111099999999999,0.13333299999999998,0.0,3.755555556,1.2608700000000002,3.75,3.0,1.25,0.0,0.0,0.06666699999999999,0.083333,1.533333,4.5833330000000005,1.916667,0.416667,4.2,3.913043,4.6,4.6666669999999995
1_05,0.608,0.381579,2.352211,3.3265279999999997,0.557249,16.979058,0.381579,0.28571399999999997,0.571429,0.534522,0.026316000000000003,0.21052600000000002,0.10526300000000001,0.013158000000000001,0.118421,0.0,4.013157895,1.213483,4.588235,3.9,1.1764709999999998,0.1,0.117647,0.1,0.117647,2.15,3.529412,2.5294119999999998,0.0,4.483333,3.4418599999999997,0.0,6.0
1_07,0.627273,0.42028999999999994,2.468644,3.49119,0.584832,18.871786,0.42028999999999994,0.4,1.6,0.8944270000000001,0.057971,0.144928,0.057971,0.028986,0.086957,0.018182,4.0,1.38961,4.3125,3.631579,1.1875,0.157895,0.1875,0.0,0.0,1.5789469999999999,3.875,1.875,0.0,4.370968,3.766667,0.0,5.3770489999999995
1_09,0.5617979999999999,0.5,2.5,3.5355339999999997,0.65674,21.5654,0.5,0.571429,2.285714,1.069045,0.08,0.18,0.04,0.06,0.1,0.0,4.06,1.4,4.1666669999999995,2.272727,1.833333,0.136364,0.25,0.0,0.0,2.045455,3.166667,3.75,0.0,4.342105,3.688889,0.0,6.581817999999999
1_101,0.675978,0.44628100000000004,3.471251,4.909091,0.523172,28.453111,0.44628100000000004,0.583333,8.166667,2.020726,0.115702,0.132231,0.008264,0.066116,0.07438,0.0,3.958677686,1.307692,5.5,4.321429,1.272727,0.14285699999999998,0.181818,0.0,0.0,3.714286,4.181818,4.727273,0.8636360000000001,4.5,4.028846,3.789474,7.402985
1_103,0.7541899999999999,0.577778,4.746929,6.713171000000001,0.5409609999999999,49.918677,0.577778,0.8235290000000001,11.529411999999999,2.40098,0.10370399999999999,0.155556,0.051851999999999995,0.06666699999999999,0.118519,0.011173,3.9037037039999998,1.291971,6.75,5.625,1.2,0.083333,0.1,0.041667,0.05,2.125,2.0,2.55,0.35,4.55,4.235294000000001,3.142857,6.350515000000001
1_105,0.699422,0.479339,3.7283809999999997,5.272727,0.5325439999999999,32.346621999999996,0.479339,0.636364,8.909091,2.110579,0.115702,0.115702,0.041322000000000005,0.033058,0.07438,0.0057799999999999995,3.537190083,1.230769,5.809524,4.357143,1.333333,0.035713999999999996,0.047619,0.0,0.0,1.5,4.095238,2.0,0.23809499999999997,3.848837,3.166667,2.8,6.424779
1_107,0.760736,0.5,3.937004,5.567764,0.5347029999999999,35.452453999999996,0.5,0.631579,7.578947,1.946657,0.096774,0.08064500000000001,0.08064500000000001,0.06451599999999999,0.14516099999999998,0.018405,3.7096774189999997,1.229008,7.75,6.5263160000000005,1.1875,0.157895,0.1875,0.0,0.0,4.631579,4.5625,5.5,0.75,3.794521,3.6590910000000005,3.833333,7.85567
1_109,0.676647,0.575221,4.323736,6.114686,0.566537,45.460491,0.575221,0.631579,7.578947,1.946657,0.106195,0.123894,0.07964600000000001,0.061947,0.141593,0.0,3.946902655,1.208333,4.7083330000000005,3.896552,1.208333,0.068966,0.083333,0.0,0.0,1.4482760000000001,3.583333,1.75,0.333333,4.023256,4.452381,4.25,5.503448000000001
