id,AoA_Bird_Lem,AoA_Bristol_Lem,AoA_Cort_Lem,AoA_Kup,AoA_Kup_Lem,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprPerProPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprProperNounsPerNoun,DISC_globalArgumentOverlapCount,DISC_globalContentWordOverlapCount,DISC_globalNounOverlapCount,DISC_globalStemOverlapCount,DISC_localArgumentOverlapCount,DISC_localContentWordOverlapCount,DISC_localNounOverlapCount,DISC_localStemOverlapCount,MRCAoA,MRCColMeaningfulness,MRCConcreteness,MRCFamiliarity,MRCImageability,MRCPavioMeaningfulness,POS_adjVar,POS_advVar,POS_correctedVV1,POS_modVar,POS_nounVar,POS_numAdjectives,POS_numAdverbs,POS_numConjunct,POS_numDeterminers,POS_numFunctionWords,POS_numLexicals,POS_numModals,POS_numNouns,POS_numPerPronouns,POS_numPrepositions,POS_numPronouns,POS_numProperNouns,POS_numVerbs,POS_numVerbsVB,POS_numVerbsVBD,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_numWhPronouns,POS_squaredVerbVar1,POS_verbVar1,POS_verbVar2,SYN_CNPerClause,SYN_CNPerTunit,SYN_ComplexTunitRatio,SYN_CoordPerClause,SYN_CoordPerTunit,SYN_DependentClauseRatio,SYN_DependentClausesPerTunit,SYN_MLC,SYN_MLT,SYN_TunitComplexityRatio,SYN_VPPerTunit,SYN_avgParseTreeHeightPerSen,SYN_avgSentenceLength,SYN_numClausesPerSen,SYN_numConjPPerSen,SYN_numNPSize,SYN_numNPsPerSen,SYN_numPPSize,SYN_numPPsPerSen,SYN_numRRCsPerSen,SYN_numSBARsPerSen,SYN_numSentences,SYN_numSubtreesPerSen,SYN_numTunitsPerSen,SYN_numVPSize,SYN_numVPsPerSen,SYN_numWHPsPerSen,TRAD_ARI,TRAD_Coleman,TRAD_FOG,TRAD_FORCAST,TRAD_Flesch,TRAD_Kincaid,TRAD_LIX,TRAD_SMOG,TRAD_numChars,TRAD_numSyll,WN_numHypernyms,WN_numHyponyms,WN_numSenses,Word_BilogTTR,Word_CTTR,Word_MTLD,Word_RTTR,Word_TTR,Word_UberIndex,Word_numWords,numConnectives,numDiscConnectives,numNonDiscConnectives,numCompConnectives,numExpConnectives,numContConnectives,numTempConnectives,PRONOUNS_NOUNS_RATIO_INDEX,AVG_PRONOUNS_PER_SENT_INDEX,AVG_PRONOUNS_PER_WORD_INDEX,AVG_PERSONAL_PRONOUNS_PER_SENT_INDEX,AVG_PERSONAL_PRONOUNS_PER_WORD_INDEX,AVG_POSSESIVE_PRONOUNS_PER_SENT_INDEX,AVG_PESSESIVE_PRONOUNS_PER_WORD_INDEX,AVG_DEFINITE_ARTICLES_PER_SENT_INDEX,AVG_DEFINITE_ARTICLES_PER_WORD_INDEX,PROPER_NAMES_WORD_RATIO_INDEX,WORD_OVERLAP,LEMMA_OVERLAP,NOUN_AND_PRONOUN_OVERLAP_BY_LEMMA,NOUN_AND_PRONOUN_OVERLAP_BY_ORTH,S_2_S,S_2_O,S_2_N,O_2_S,O_2_O,O_2_N,N_2_S,N_2_O,PROPORTION_INDEF_NP_REFCHAIN,PROPORTION_DEF_NP_REFCHAIN,PROPORTION_PERSONAL_PRONOUNS_REFCHAIN,PROPORTION_DEMONSTRATIVE_DETERMINERS_REFCHAIN,PROPORTION_REFLEXIVE_PRONOUNS_REFCHAIN,PROPORTION_PROPER_NOUNS_REFCHAIN,AVG_LEN_REFCHAIN
Ele-Txt-Amazon-ele,3.65,1.11,2.43,4.56,5.76,0.84,0.06,0.02,0.27,0.12,0,0.09,0.39,0.03,0.27,2.66,11.78,1.72,2.81,0.24,0.87,0.12,0.24,0.3,2.14,1.95,4.27,2.16,0.19,0.17,0.06,7.03,0.24,0.52,0.11,0.04,0.04,0.11,0.36,0.67,0.01,0.35,0.02,0.11,0.03,0.09,0.15,0.03,0,0.01,0.03,0.03,0.04,0,98.94,1.7,0.21,2.95,1.78,0.24,0.25,0.15,0.4,0.24,10.97,6.61,0.6,1.12,8.75,14.63,1.33,0,2.23,3.33,1.95,1.36,0,0.57,33,42.24,2.21,2.19,2.48,0.18,11.38,11.4,15.9,16.97,58.37,9.99,45.34,14.48,4.88,1.51,0,0.07,5.76,0.86,6.72,6.54,9.5,0.43,45.59,483,1.09,0.27,0.81,0.06,0.12,0.03,0.06,0.064285714,0.272727273,0.018595041,0.272727273,0.018595041,0,0,0.848484848,0.05785124,0.119834711,0.152892562,0.183884298,0.020661157,0.008264463,0.052631579,0,0.947368421,0,0,1,0.714285714,0.285714286,0.115384615,0.615384615,0.230769231,0,0,0.461538462,2.6
Ele-Txt-Amsterdam-ele,3.82,1.17,2.74,4.36,5.51,1.13,0.05,0.04,0.9,0.09,0,0.18,1,0.04,0.17,4.63,20.36,2.86,4.77,0.63,1.9,0.4,0.63,0.27,2.28,2.01,4.34,2.22,0.19,0.15,0.07,7.89,0.22,0.43,0.1,0.05,0.04,0.09,0.38,0.66,0.02,0.29,0.04,0.1,0.06,0.05,0.22,0.07,0.01,0.01,0.02,0.04,0.05,0,124.51,1.51,0.29,2.22,1.79,0.43,0.24,0.19,0.52,0.41,9.8,7.9,0.8,1.85,12.9,22.27,2.27,0,1.81,5.27,2,1.9,0,1.13,22,65.27,2.81,2.17,5.22,0.36,10.3,9.79,14,17.76,71.02,8.34,42.03,13.02,4.6,1.36,0,0.06,6.18,0.86,6.86,8.41,9.71,0.43,46.57,490,1.54,0.5,1.04,0.18,0.04,0.27,0,0.166666667,0.909090909,0.040733198,0.909090909,0.040733198,0,0,1.136363636,0.050916497,0.087576375,0.201629328,0.252545825,0.040733198,0.030549898,0.095238095,0.047619048,0.857142857,0.043478261,0,0.956521739,0.652173913,0.347826087,0.208333333,0.375,0.416666667,0,0,0.166666667,3.692307692
Ele-Txt-Anita-ele,3.65,1.34,2.74,4.14,5.11,0.61,0.03,0.05,1,0.38,0.02,0.29,1.38,0.07,0.2,6,12.65,1.3,6.03,0.57,1.34,0.23,0.57,0.32,2.48,2.28,4.64,2.63,0.17,0.18,0.06,7.58,0.25,0.47,0.11,0.04,0.05,0.1,0.42,0.61,0,0.28,0.06,0.14,0.08,0.05,0.16,0.02,0.04,0,0.01,0.03,0.03,0,115.2,1.6,0.27,2.32,1.75,0.32,0.3,0.23,0.42,0.32,10.4,7.84,0.75,1.21,10.96,19.61,1.88,0,1.85,4.8,2.08,1.84,0,0.8,26,56.57,2.5,2.27,3.03,0.19,8.08,8.51,10.66,18.6,80.61,6.32,34.41,10.38,4.42,1.28,0,0.02,6.77,0.88,7.67,8.47,10.84,0.48,53.01,510,1.5,0.38,1.11,0.11,0.03,0.15,0.07,0.209677419,1,0.050880626,0.961538462,0.048923679,0,0,0.615384615,0.031311155,0.090019569,0.150684932,0.238747554,0.046966732,0.025440313,0.069767442,0.023255814,0.906976744,0,0.066666667,0.933333333,0.75862069,0.24137931,0.136363636,0.159090909,0.5,0.022727273,0.022727273,0.113636364,6.285714286
Ele-Txt-Arctic mapping-ele,3.93,1.26,2.98,3.98,5.19,1.86,0.08,0.02,0.47,0.17,0,0.09,0.65,0.03,0.21,5.82,13.52,4.17,5.82,0.47,1.3,0.34,0.47,0.3,2.31,2.19,4.4,2.37,0.17,0.12,0.07,6.55,0.19,0.52,0.07,0.04,0.04,0.12,0.39,0.65,0.02,0.34,0.02,0.11,0.03,0.07,0.18,0.05,0.04,0.02,0.03,0.01,0.01,0,85.95,1.17,0.24,3,1.86,0.24,0.34,0.21,0.34,0.21,12.78,7.93,0.62,1.54,11.56,22.78,1.78,0,2.1,5.56,2,2.34,0,0.69,23,65.52,2.86,2.31,4.43,0.3,10.24,9.34,12.41,18.46,77.24,7.64,37.93,11.46,4.51,1.28,0,0.02,7.57,0.88,7.93,7.78,11.22,0.49,55.03,524,1.26,0.47,0.78,0.17,0.17,0.08,0.04,0.070063694,0.47826087,0.020952381,0.47826087,0.020952381,0,0,1.869565217,0.081904762,0.091428571,0.144761905,0.201904762,0.024761905,0.015238095,0.043478261,0,0.956521739,0.045454545,0.045454545,0.909090909,0.652173913,0.347826087,0.125,0.55,0.225,0,0,0.2,3.636363636
Ele-Txt-Banksy-ele,4.22,1.19,2.96,3.98,5.14,1.71,0.08,0.05,1.04,0.33,0.01,0.23,1.38,0.06,0.31,4.9,21.28,3,5.14,0.47,2.52,0.23,0.47,0.22,2.59,2.33,4.79,2.52,0.35,0.08,0.04,8.45,0.12,0.5,0.05,0.02,0.02,0.13,0.41,0.6,0.01,0.3,0.05,0.13,0.08,0.09,0.22,0.04,0.08,0.02,0.03,0.01,0.02,0,143.06,1.74,0.34,1.94,1.76,0.55,0.09,0.08,0.52,0.48,8.86,8.07,0.91,1.8,12.14,21.52,2.42,0,2,5.38,2,1.95,0,1.38,21,63.66,2.66,2.18,4.8,0.47,8.99,7.91,10.36,19.19,90.67,5.71,38.06,9.12,4.27,1.12,0,0.08,6.85,0.85,6.25,7.8,8.84,0.41,42.6,452,0.85,0.47,0.38,0.23,0.09,0.09,0.04,0.181818182,1.047619048,0.048565121,1,0.046357616,0,0,1.714285714,0.079470199,0.114790287,0.183222958,0.253863135,0.04415011,0.026490066,0.069767442,0,0.930232558,0.047619048,0.047619048,0.904761905,0.661538462,0.338461538,0.163934426,0.540983607,0.278688525,0,0.016393443,0.229508197,3.588235294
Ele-Txt-Billionaires-ele,3.85,1.23,2.91,4.24,5.49,1.83,0.08,0.01,0.38,0.11,0,0.08,0.5,0.02,0.23,3.61,16.44,3.22,3.61,0.61,2.88,0.5,0.61,0.33,2.51,2.28,4.72,2.54,0.35,0.15,0.07,6.85,0.23,0.47,0.1,0.05,0.02,0.11,0.38,0.66,0.02,0.31,0.02,0.13,0.02,0.07,0.19,0.05,0.03,0.01,0.02,0.03,0.03,0,94.08,1.59,0.25,2.63,2.29,0.53,0.14,0.12,0.53,0.46,10.41,9.08,0.87,1.8,13.5,23.72,2.27,0,1.94,5.66,2.04,2.38,0,1.11,18,69,2.61,2.23,4.72,0.38,10.26,9.8,12.55,18.29,76.08,7.61,40.27,11.75,4.6,1.3,0,0.1,7.5,0.86,6.57,7.87,9.29,0.44,45.89,427,1.16,0.16,1,0.05,0,0.11,0,0.063636364,0.388888889,0.01635514,0.388888889,0.01635514,0,0,1.833333333,0.077102804,0.163551402,0.21728972,0.275700935,0.058411215,0.046728972,0.085714286,0,0.914285714,0.105263158,0.157894737,0.736842105,0.666666667,0.333333333,0.266666667,0.533333333,0.133333333,0,0,0.233333333,3
Ele-Txt-Blackberry-ele,3.68,1.1,2.39,4.05,5.51,0.59,0.04,0.02,0.38,0.22,0.01,0.12,0.61,0.04,0.3,5.5,19.95,4.38,5.93,0.38,1.34,0.27,0.38,0.21,2.17,1.94,4.22,2.16,0.11,0.12,0.08,9.51,0.21,0.53,0.08,0.06,0.06,0.09,0.37,0.68,0,0.36,0.02,0.09,0.04,0.11,0.17,0.03,0.02,0.01,0,0.04,0.04,0,180.94,1.86,0.23,1.75,1,0.1,0.29,0.16,0.18,0.1,10.37,5.97,0.57,0.97,8.27,16.97,1.63,0,1.82,4.43,2.01,1.27,0,0.31,44,48.72,2.84,2.22,2.77,0.11,8.2,10.18,11.31,17.9,74.53,6.42,37.65,11.2,4.77,1.39,0,0.04,6.16,0.86,7.91,7.97,11.19,0.4,49.04,747,1.29,0.45,0.84,0.2,0.22,0,0.02,0.077625571,0.386363636,0.022727273,0.363636364,0.021390374,0,0,0.590909091,0.034759358,0.105614973,0.161764706,0.192513369,0.026737968,0.021390374,0.056338028,0,0.943661972,0,0.054054054,0.945945946,0.660377358,0.339622642,0.053571429,0.267857143,0.232142857,0,0.017857143,0.160714286,3.733333333
Ele-Txt-Bolivia-ele,3.94,1.54,2.65,4.64,5.86,1.58,0.08,0.03,0.61,0.16,0,0.13,0.77,0.04,0.33,7.16,21.8,5.12,7.16,0.64,1.61,0.48,0.64,0.38,1.87,1.88,4.14,2.08,0.13,0.14,0.04,8.73,0.19,0.49,0.09,0.03,0.02,0.12,0.37,0.65,0.02,0.32,0.03,0.11,0.04,0.1,0.2,0.05,0.03,0.01,0.02,0.02,0.05,0,152.44,1.55,0.27,2.39,2.03,0.39,0.13,0.11,0.44,0.38,9.28,7.91,0.85,1.65,11.41,20.67,2.22,0,1.92,5.16,2,1.54,0,1.03,31,60.16,2.61,2.18,4.32,0.25,10.81,11.37,14.93,17.15,65.42,8.7,44.35,13.79,4.89,1.45,0,0.04,5.79,0.85,7.03,7.96,9.95,0.39,44.74,641,1,0.41,0.58,0.06,0.12,0.19,0.03,0.106145251,0.612903226,0.029595016,0.612903226,0.029595016,0,0,1.580645161,0.076323988,0.112149533,0.185358255,0.236760125,0.054517134,0.043613707,0.109375,0.015625,0.875,0.055555556,0.055555556,0.888888889,0.659793814,0.340206186,0.214285714,0.482142857,0.267857143,0,0,0.214285714,3.733333333
Ele-Txt-Bonus pay-ele,4.01,1.64,2.97,4.02,5.63,1.57,0.08,0.01,0.38,0.14,0,0.09,0.52,0.02,0.16,4,16.8,3.23,4.57,0.52,1.95,0.38,0.57,0.29,2.21,1.94,4.28,2.17,0.11,0.13,0.06,7.5,0.19,0.48,0.08,0.03,0.03,0.1,0.38,0.65,0.01,0.32,0.02,0.15,0.03,0.05,0.2,0.03,0.01,0.02,0.03,0.05,0.03,0,112.69,1.56,0.28,2.9,2.23,0.37,0.18,0.14,0.48,0.37,10.51,8.07,0.76,1.53,12.38,21.52,2.04,0,1.8,5.66,2.04,2.38,0,1.14,21,63.71,2.66,2.16,4.09,0.33,9.93,10.01,12.59,18.1,81.3,6.6,40.57,11.94,4.65,1.25,0,0,6.2,0.86,6.65,7.35,9.4,0.44,45.84,452,1.33,0.47,0.85,0.19,0.19,0.04,0.04,0.06557377,0.380952381,0.017660044,0.380952381,0.017660044,0,0,1.571428571,0.072847682,0.075055188,0.174392936,0.222958057,0.028697572,0.024282561,0.078947368,0.026315789,0.894736842,0,0.125,0.875,0.740740741,0.259259259,0.166666667,0.466666667,0.233333333,0,0,0.066666667,3
Ele-Txt-Brazil-ele,3.92,1.41,2.55,3.95,5.39,1.09,0.06,0.02,0.43,0.15,0,0.09,0.59,0.03,0.28,4.65,18.12,3.43,4.9,0.28,1.28,0.21,0.34,0.32,2.24,2.06,4.3,2.34,0.16,0.14,0.05,8.54,0.2,0.53,0.1,0.03,0.05,0.1,0.36,0.67,0,0.35,0.02,0.13,0.03,0.1,0.17,0.02,0.06,0.01,0.02,0.02,0.01,0,145.93,1.58,0.25,2.81,1.9,0.16,0.25,0.17,0.23,0.16,10.94,7.42,0.67,1.22,10.25,20.18,1.84,0,1.91,5.21,2.03,1.96,0,0.46,32,57.71,2.71,2.18,3.34,0.15,10.89,11.92,13.42,17.59,62.21,8.93,44.26,12.7,5,1.49,0,0.01,5.75,0.87,8.26,8.01,11.68,0.45,53.88,646,1.75,0.59,1.15,0.25,0.18,0.06,0.09,0.072916667,0.4375,0.021638331,0.4375,0.021638331,0,0,1.09375,0.054095827,0.111282844,0.13446677,0.177743431,0.023183926,0.01236476,0,0.017857143,0.982142857,0,0,1,0.670588235,0.329411765,0.272727273,0.303030303,0.363636364,0,0,0.121212121,2.75
