id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102
1_1,1.0,0.0,1.0,0.5273,0.4727,0.0,5.6182,1.375,1.129,9,0.225,3,0.075,0,0.0,0,0.0,2.4,8.0,11.0,13.8,55,69,0.075,0.0938,3,0.6,0.6,0.125,0.0938,3,1.0,0.6,0.225,7,0.2188,1.8,1.4,0.225,8,0.25,1.8,1.6,0.3,11,0.3438,2.4,2.2,0.825,27,0.8438,6.6,5.4,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.8,1.6,9,8,2,2.5556,5.5,2.5,3,0.4,0.6,2.0,4.0,5,5.2,24.8,1.9183,1,1,0.025,0.025,0.2,0.2,0.0,0.0,0.0,0.3,2.4,2.2,0.025,1,0.0312,0.2,0.2,0.025,1,0.0312,0.2,0.2
1_10,1.0,0.0,1.0,0.2269,0.7647,0.0084,7.6471,1.4512,1.3488,31,0.37799999999999995,3,0.0366,0,0.0,0,0.0,4.25,10.25,14.875,17.125,119,137,0.0854,0.1163,5,0.875,0.625,0.1098,0.0465,2,1.125,0.25,0.3171,12,0.2791,3.25,1.5,0.1341,10,0.2326,1.375,1.25,0.2195,15,0.3488,2.25,1.875,0.8415,39,0.907,8.625,4.875,0.0,0,0.0,0.0,0.0,0.0854,3,0.0698,0.875,0.375,2.875,1.625,23,13,3,3.0435,7.4615,5.6667,4,0.5,0.5,2.25,4.5556,8,8.1667,44.3333,2.8464,5,4,0.061,0.0488,0.625,0.5,0.061,0.625,1.0,0.1585,1.625,1.625,0.0,0,0.0,0.0,0.0,0.0976,1,0.0233,1.0,0.125
1_11,0.9921,0.0,0.9921,0.2992,0.6929,0.0079,7.3307,1.4767,1.4035,37,0.4302,2,0.0233,0,0.0,0,0.0,3.9,8.6,12.7,14.7,127,147,0.0805,0.0847,5,0.7,0.5,0.2184,0.1186,7,1.9,0.7,0.1724,12,0.2034,1.5,1.2,0.2414,19,0.322,2.1,1.9,0.3218,24,0.4068,2.8,2.4,0.7701,51,0.8644,6.7,5.1,0.0,0,0.0,0.0,0.0,0.0115,1,0.0169,0.1,0.1,2.4,1.0,24,10,2,3.75,9.9,9.0,5,0.5,0.5,1.7,5.0588,10,5.7778,31.6667,2.8966,6,4,0.069,0.046,0.6,0.4,0.0,0.0,0.0,0.3218,2.8,2.2,0.023,2,0.0339,0.2,0.2,0.0575,3,0.0508,0.5,0.3
1_12,1.0,0.0,1.0,0.3947,0.6053,0.0,6.3737,1.3194,1.1216,44,0.3056,1,0.0069,0,0.0,0,0.0,2.8125,9.0,11.875,14.3125,190,229,0.1448,0.0395,3,1.3125,0.1875,0.0828,0.0789,6,0.75,0.375,0.3034,30,0.3947,2.75,1.875,0.2138,11,0.1447,1.9375,0.6875,0.2621,17,0.2237,2.375,1.0625,0.8759,67,0.8816,7.9375,4.1875,0.0,0,0.0,0.0,0.0,0.0759,9,0.1184,0.6875,0.5625,2.375,0.9375,38,15,6,2.5263,11.4,4.3333,8,0.5,0.5,1.9375,4.6452,16,6.8462,39.0,2.7811,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621,2.375,2.375,0.0069,1,0.0132,0.0625,0.0625,0.0621,5,0.0658,0.5625,0.3125
1_13,0.9412,0.0588,1.0,0.3529,0.6471,0.0,7.1176,1.4021,1.1915,30,0.3093,0,0.0,3,0.0309,0,0.0,2.3571,6.9286,9.7143,11.1429,136,156,0.0515,0.0612,3,0.3571,0.2143,0.1134,0.102,5,0.7857,0.3571,0.1856,11,0.2245,1.2857,0.7857,0.2268,6,0.1224,1.5714,0.4286,0.299,10,0.2041,2.0714,0.7143,0.8866,44,0.898,6.1429,3.1429,0.0,0,0.0,0.0,0.0,0.1753,7,0.1429,1.2143,0.5,1.9286,1.2143,27,17,0,2.3333,5.4706,0.0,7,0.5,0.5,1.4286,4.85,14,7.1429,40.2857,2.5033,2,2,0.0206,0.0206,0.1429,0.1429,0.0,0.0,0.0,0.299,2.0714,1.9286,0.0,0,0.0,0.0,0.0,0.0619,5,0.102,0.4286,0.3571
1_14,0.9205,0.0057,0.9262,0.3295,0.6591,0.0114,7.5,1.4194,1.1705,46,0.371,3,0.0242,0,0.0,0,0.0,3.5,8.8571,12.5714,14.0714,176,197,0.0968,0.1209,11,0.8571,0.7857,0.1048,0.0659,6,0.9286,0.4286,0.2742,28,0.3077,2.4286,2.0,0.2419,19,0.2088,2.1429,1.3571,0.3065,26,0.2857,2.7143,1.8571,0.8629,81,0.8901,7.6429,5.7857,0.0,0,0.0,0.0,0.0,0.0645,7,0.0769,0.5714,0.5,2.1429,1.0,30,14,5,3.6667,9.7143,5.4,7,0.5,0.5,1.5,5.9048,14,8.875,47.75,2.7461,4,3,0.0323,0.0242,0.2857,0.2143,0.0161,0.1429,0.5,0.2903,2.5714,2.4286,0.0161,2,0.022000000000000002,0.1429,0.1429,0.0323,2,0.022000000000000002,0.2857,0.1429
1_15,1.0,0.0,1.0,0.2754,0.7186,0.006,7.1138,1.2463,1.1343,31,0.2313,1,0.0075,0,0.0,0,0.0,5.3333,22.3333,27.8333,32.0,167,192,0.0299,0.028999999999999998,2,0.6667,0.3333,0.2015,0.1014,7,4.5,1.1667,0.2612,24,0.3478,5.8333,4.0,0.1567,15,0.2174,3.5,2.5,0.209,19,0.2754,4.6667,3.1667,0.7537,59,0.8551,16.8333,9.8333,0.0,0,0.0,0.0,0.0,0.0522,3,0.0435,1.1667,0.5,6.3333,2.6667,38,16,7,2.3158,8.5,4.1429,3,0.5,0.5,4.1667,5.36,6,7.5,47.2,3.0617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,4.6667,4.6667,0.0224,1,0.0145,0.5,0.1667,0.1418,4,0.057999999999999996,3.1667,0.6667
1_16,0.9844,0.0,0.9844,0.25,0.7188,0.0312,8.2734,1.3913,1.25,28,0.3043,4,0.0435,0,0.0,0,0.0,3.2,9.2,12.8,15.7,128,157,0.1505,0.12,6,1.4,0.6,0.1398,0.1,5,1.3,0.5,0.1935,12,0.24,1.8,1.2,0.3226,17,0.34,3.0,1.7,0.3656,19,0.38,3.4,1.9,0.8065,43,0.86,7.5,4.3,0.0,0,0.0,0.0,0.0,0.0215,2,0.04,0.2,0.2,2.9,1.2,29,12,5,3.0345,8.6667,4.6,5,0.5,0.5,2.1,4.381,10,7.3333,35.5556,2.8042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3656,3.4,3.4,0.0,0,0.0,0.0,0.0,0.043,1,0.02,0.4,0.1
1_17,1.0,0.0,1.0,0.4043,0.574,0.0217,6.7401,1.2944,1.0177,59,0.2757,2,0.0093,0,0.0,0,0.0,3.8125,13.375,17.3125,20.9375,277,335,0.1023,0.0763,9,1.375,0.5625,0.1163,0.0678,8,1.5625,0.5,0.293,39,0.3305,3.9375,2.4375,0.2233,24,0.2034,3.0,1.5,0.2791,32,0.2712,3.75,2.0,0.8558,107,0.9068,11.5,6.6875,0.013999999999999999,1,0.0085,0.1875,0.0625,0.0744,13,0.1102,1.0,0.8125,3.75,1.8125,60,29,4,2.45,7.6897,3.5,8,0.5,0.5,2.875,4.6522,16,5.9,34.45,2.5579,3,3,0.013999999999999999,0.013999999999999999,0.1875,0.1875,0.0093,0.125,0.6667,0.2698,3.625,3.5625,0.0,0,0.0,0.0,0.0,0.0558,8,0.0678,0.75,0.5
1_18,0.9947,0.0,0.9947,0.3122,0.6772,0.0106,7.1164,1.4211,1.2162,41,0.3083,6,0.0451,1,0.0075,0,0.0,3.0,8.3125,11.8125,14.3125,189,229,0.0376,0.0526,4,0.3125,0.25,0.1654,0.1053,8,1.375,0.5,0.2481,21,0.2763,2.0625,1.3125,0.2105,15,0.1974,1.75,0.9375,0.2632,19,0.25,2.1875,1.1875,0.8195,66,0.8684,6.8125,4.125,0.0,0,0.0,0.0,0.0,0.0902,7,0.0921,0.75,0.4375,2.0,1.1875,32,19,2,3.0,7.2632,3.5,8,0.5,0.5,2.0,4.1562,16,7.4444,72.8889,3.8205,5,2,0.0376,0.015,0.3125,0.125,0.0301,0.25,0.8,0.2331,1.9375,1.875,0.0075,1,0.0132,0.0625,0.0625,0.0977,8,0.1053,0.8125,0.5
