,id,label
0,KB1-1,1
1,KB1-10,1
2,KB1-11,1
3,KB1-12,1
4,KB1-13,1
5,KB1-14,1
6,KB1-15,1
7,KB1-16,1
8,KB1-17,1
9,KB1-18,1
10,KB1-19,1
11,KB1-2,1
12,KB1-20,1
13,KB1-21,1
14,KB1-22,1
15,KB1-23,1
16,KB1-24,1
17,KB1-25,1
18,KB1-26,1
19,KB1-27,1
20,KB1-28,1
21,KB1-29,1
22,KB1-3,1
23,KB1-30,1
24,KB1-4,1
25,KB1-5,1
26,KB1-6,1
27,KB1-7,1
28,KB1-8,1
29,KB1-9,1
30,KB10-1,5
31,KB10-2,5
32,KB10-3,5
33,KB10-4,5
34,KB10-5,5
35,KB10-6,5
36,KB100-1,5
37,KB100-10,5
38,KB100-11,5
39,KB100-12,5
40,KB100-13,5
41,KB100-14,5
42,KB100-15,5
43,KB100-16,5
44,KB100-17,5
45,KB100-18,5
46,KB100-19,5
47,KB100-2,5
48,KB100-20,5
49,KB100-3,5
50,KB100-4,5
51,KB100-5,5
52,KB100-6,5
53,KB100-7,5
54,KB100-8,5
55,KB100-9,5
56,KB11-1,5
57,KB11-2,5
58,KB11-3,5
59,KB11-4,5
60,KB11-5,5
61,KB11-6,5
62,KB12-1,5
63,KB12-10,5
64,KB12-11,5
65,KB12-12,5
66,KB12-13,5
67,KB12-14,5
68,KB12-15,5
69,KB12-16,5
70,KB12-17,5
71,KB12-18,5
72,KB12-19,5
73,KB12-2,5
74,KB12-20,5
75,KB12-21,5
76,KB12-3,5
77,KB12-4,5
78,KB12-5,5
79,KB12-6,5
80,KB12-7,5
81,KB12-8,5
82,KB12-9,5
83,KB13-1,5
84,KB13-10,5
85,KB13-11,5
86,KB13-12,5
87,KB13-13,5
88,KB13-14,5
89,KB13-15,5
90,KB13-16,5
91,KB13-17,5
92,KB13-18,5
93,KB13-19,5
94,KB13-2,5
95,KB13-20,5
96,KB13-21,5
97,KB13-22,5
98,KB13-23,5
99,KB13-24,5
100,KB13-25,5
101,KB13-26,5
102,KB13-27,5
103,KB13-28,5
104,KB13-29,5
105,KB13-3,5
106,KB13-30,5
107,KB13-31,5
108,KB13-32,5
109,KB13-4,5
110,KB13-5,5
111,KB13-6,5
112,KB13-7,5
113,KB13-8,5
114,KB13-9,5
115,KB14-1,1
116,KB14-10,1
117,KB14-11,1
118,KB14-12,1
119,KB14-13,1
120,KB14-14,1
121,KB14-15,1
122,KB14-16,1
123,KB14-17,1
124,KB14-18,1
125,KB14-19,1
126,KB14-2,1
127,KB14-20,1
128,KB14-21,1
129,KB14-22,1
130,KB14-23,1
131,KB14-24,1
132,KB14-25,1
133,KB14-26,1
134,KB14-27,1
135,KB14-28,1
136,KB14-29,1
137,KB14-3,1
138,KB14-30,1
139,KB14-4,1
140,KB14-5,1
141,KB14-6,1
142,KB14-7,1
143,KB14-8,1
144,KB14-9,1
145,KB15-1,2
146,KB15-10,2
147,KB15-11,2
148,KB15-12,2
149,KB15-13,2
150,KB15-14,2
151,KB15-15,2
152,KB15-16,2
153,KB15-17,2
154,KB15-18,2
155,KB15-19,2
156,KB15-2,2
157,KB15-20,2
158,KB15-21,2
159,KB15-22,2
160,KB15-23,2
161,KB15-24,2
162,KB15-25,2
163,KB15-3,2
164,KB15-4,2
165,KB15-5,2
166,KB15-6,2
167,KB15-7,2
168,KB15-8,2
169,KB15-9,2
170,KB16-1,3
171,KB16-10,3
172,KB16-11,3
173,KB16-12,3
174,KB16-13,3
175,KB16-14,3
176,KB16-15,3
177,KB16-16,3
178,KB16-17,3
179,KB16-18,3
180,KB16-2,3
181,KB16-3,3
182,KB16-4,3
183,KB16-5,3
184,KB16-6,3
185,KB16-7,3
186,KB16-8,3
187,KB16-9,3
188,KB17-1,3
189,KB17-10,3
190,KB17-11,3
191,KB17-12,3
192,KB17-13,3
193,KB17-14,3
194,KB17-15,3
195,KB17-16,3
196,KB17-2,3
197,KB17-3,3
198,KB17-4,3
199,KB17-5,3
200,KB17-6,3
201,KB17-7,3
202,KB17-8,3
203,KB17-9,3
204,KB18-1,4
205,KB18-10,4
206,KB18-11,4
207,KB18-12,4
208,KB18-2,4
209,KB18-3,4
210,KB18-4,4
211,KB18-5,4
212,KB18-6,4
213,KB18-7,4
214,KB18-8,4
215,KB18-9,4
216,KB19-1,4
217,KB19-10,4
218,KB19-11,4
219,KB19-2,4
220,KB19-3,4
221,KB19-4,4
222,KB19-5,4
223,KB19-6,4
224,KB19-7,4
225,KB19-8,4
226,KB19-9,4
227,KB2-1,2
228,KB2-10,2
229,KB2-11,2
230,KB2-12,2
231,KB2-13,2
232,KB2-14,2
233,KB2-15,2
234,KB2-16,2
235,KB2-17,2
236,KB2-18,2
237,KB2-19,2
238,KB2-2,2
239,KB2-20,2
240,KB2-21,2
241,KB2-22,2
242,KB2-23,2
243,KB2-24,2
244,KB2-25,2
245,KB2-26,2
246,KB2-27,2
247,KB2-28,2
248,KB2-29,2
249,KB2-3,2
250,KB2-30,2
251,KB2-4,2
252,KB2-5,2
253,KB2-6,2
254,KB2-7,2
255,KB2-8,2
256,KB2-9,2
257,KB20-1,5
258,KB20-10,5
259,KB20-11,5
260,KB20-12,5
261,KB20-13,5
262,KB20-14,5
263,KB20-15,5
264,KB20-16,5
265,KB20-17,5
266,KB20-2,5
267,KB20-3,5
268,KB20-4,5
269,KB20-5,5
270,KB20-6,5
271,KB20-7,5
272,KB20-8,5
273,KB20-9,5
274,KB21-1,5
