id,LD,TTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV,MTLD,AWL,NumChar,NumSyll,MLC,MLS,MLT,C/S,T/S,C/T,CT/T,DC/C,DC/T,CP/C,CP/T,CN/C,CN/T,VP/T,NumNP,NumVP,NumPP,NPSize,VPSize,PPSize,NumDC,NumCT,CoOrd,NumSBAR,TreeHeight,TRAD_Kincaid,TRAD_Coleman
WRLevel2_2005-06_abtschool,0.671642,0.49,3.22,4.55,0.84,27.99,0.577778,1.37,15.12,2.75,0.33,0.51,0.09,0.06,0.15,4.42,0,4.466666667,1.26087,14.16,2.647059,4.25,0.33,1.11,0.297297297,0,0,0,0,0,1,0.3,0.6,1.22,0.66,0.33,1.59,1.83,1.83,0,0,0,0,5,2.23,-0.41
WRLevel2_2009-10_celebrateourcount,0.836066,0.64,3.71,5.25,0.89,39.86,0.705882,0.62,3.12,1.25,0.15,0.59,0.06,0.03,0.09,7.27,0.081967,4.903846154,1.627451,9.57,7.285714,4.18,1,2.28,0.438596491,0.06,0.14,0.06,0.14,0.06,0.57,0.25,0.87,2.85,2,0.85,1.75,2.07,2,0.142857143,0.142857143,0.14,0.14,7.14,9.03,4.76
WRLevel2_2000-01_wiener,0.857143,0.71,4.17,5.89,0.91,52.37,0.777778,1.25,12.5,2.5,0.25,0.6,0.15,0,0.15,9.2,0,4.481481481,1.446429,7.66,13.5,6.27,1.8,2.2,0.818181818,0.36,0.44,0.36,0,0,1.66,1.36,1,3.2,2.2,0.6,2.12,2.09,2,0.8,0.8,0,0.8,9,8.1,4.59
WRLevel2_2002-03_cavity,0.83871,0.53,3.14,4.45,0.85,28.76,0.557692,0.55,2.77,1.17,0.14,0.58,0.05,0.05,0.11,6.32,0,3.730769231,1.25,8.62,6.5,4.59,1,1.87,0.534759358,0.13,0.25,0.13,0.25,0.13,0.37,0.2,0.93,2.37,1.75,0.62,1.78,2,2,0.25,0.25,0.25,0.25,6.62,3.5,0.88
WRLevel2_2000-01_awddling,0.859375,0.71,4.22,5.97,0.92,53.64,0.818182,1,15,2.73,0.36,0.34,0.07,0.14,0.21,7.57,0.03125,4.872727273,1.363636,5.38,7.857143,5.83,1.85,1.71,1.081871345,0.66,0.61,0.66,0.15,0.16,0.61,0.66,1.5,2.71,2.57,0,1.42,1.94,0,1.142857143,1.142857143,0.2775,1.14,8,10.2,4.05
WRLevel2_2003-04_topfive,0.625,0.5,3.24,4.58,0.84,28.32,0.6,1.42,14.28,2.67,0.25,0.62,0.1,0.02,0.12,4.76,0,5.571428571,1.902439,28,2.05,4.66,0.15,0.9,0.166666667,0.05,0.33,0.05,0,0,0.66,0.11,0.66,1.2,0.6,0.05,1.5,2,2,0.05,0.05,0,0.1,5.05,8.98,5.25
WRLevel2_2004-05_coral,0.75,0.57,3.44,4.86,0.87,33.09,0.666667,1.4,9.8,2.21,0.2,0.51,0.25,0,0.25,6.49,0,4.170212766,1.434783,17.75,3.833333,3.73,0.33,1.58,0.208860759,0.1,0.5,0.1,0,0,1.25,0.26,0.42,1.16,0.66,0.08,2.21,1.87,2,0.166666667,0.166666667,0,0.16,5.5,5.36,1.46
WRLevel2_2009-10_savingfrogs,0.84127,0.64,3.86,5.45,0.89,41.86,0.735849,1.25,18.75,3.06,0.34,0.51,0.04,0.06,0.11,5.64,0.031746,4.283018868,1.320755,8.87,5.888889,4.43,0.88,1.77,0.497175141,0.06,0.12,0.06,0,0,0.75,0.37,1.12,1.88,2,0.33,2.05,2,2,0.111111111,0.111111111,0,0.22,6.77,4.94,1.75
WRLevel2_2000-01_fixingflat,0.8125,0.64,3.86,5.45,0.89,41.86,0.711538,1,11,2.34,0.31,0.51,0.05,0.05,0.11,5.64,0.0625,4.071428571,1.283019,8.87,8.666667,4.73,1.14,2.14,0.53271028,0.06,0.12,0.06,0.12,0.06,0.87,0.46,1.06,2.42,2.28,0.71,1.94,2,2,0.142857143,0.142857143,0.1368,0.14,8,5.36,-1.77
WRLevel2_2000-01_human,0.850746,0.54,3.25,4.59,0.85,29.83,0.578947,2,12,2.44,0.18,0.69,0.06,0.06,0.12,6.57,0.014925,3.931034483,1.189655,10.28,9.5,6,1.16,2,0.58,0.08,0.14,0.08,0,0,1.85,1.08,0.58,3.16,1.16,1.5,2.1,2.14,2,0.166666667,0.166666667,0,0.16,8.16,4.66,0.04
